USA-< 7 years-<1 month-software,32
USA-<10 years-<1 month-software,92
USA-<15 years-<1 month-software,78
USA->15 years-<1 month-software,12
USA-undefined-<1 month-software,0
EU-< 7 years-<1 month-software,21
EU-<10 years-<1 month-software,58
EU-<15 years-<1 month-software,30
EU->15 years-<1 month-software,9
EU-undefined-<1 month-software,0
ASIA-< 7 years-<1 month-software,2
ASIA-<10 years-<1 month-software,14
ASIA-<15 years-<1 month-software,14
ASIA->15 years-<1 month-software,0
ASIA-undefined-<1 month-software,0
CAN-< 7 years-<1 month-software,4
CAN-<10 years-<1 month-software,11
CAN-<15 years-<1 month-software,3
CAN->15 years-<1 month-software,0
CAN-undefined-<1 month-software,0
OC-< 7 years-<1 month-software,1
OC-<10 years-<1 month-software,4
OC-<15 years-<1 month-software,1
OC->15 years-<1 month-software,1
OC-undefined-<1 month-software,0
SA-< 7 years-<1 month-software,3
SA-<10 years-<1 month-software,3
SA-<15 years-<1 month-software,2
SA->15 years-<1 month-software,0
SA-undefined-<1 month-software,0
AF-< 7 years-<1 month-software,0
AF-<10 years-<1 month-software,3
AF-<15 years-<1 month-software,0
AF->15 years-<1 month-software,0
AF-undefined-<1 month-software,0
USA-< 7 years-<1 year-software,95
USA-<10 years-<1 year-software,225
USA-<15 years-<1 year-software,108
USA->15 years-<1 year-software,10
USA-undefined-<1 year-software,0
EU-< 7 years-<1 year-software,33
EU-<10 years-<1 year-software,37
EU-<15 years-<1 year-software,40
EU->15 years-<1 year-software,4
EU-undefined-<1 year-software,0
ASIA-< 7 years-<1 year-software,8
ASIA-<10 years-<1 year-software,10
ASIA-<15 years-<1 year-software,14
ASIA->15 years-<1 year-software,0
ASIA-undefined-<1 year-software,0
CAN-< 7 years-<1 year-software,2
CAN-<10 years-<1 year-software,15
CAN-<15 years-<1 year-software,7
CAN->15 years-<1 year-software,0
CAN-undefined-<1 year-software,0
OC-< 7 years-<1 year-software,2
OC-<10 years-<1 year-software,3
OC-<15 years-<1 year-software,2
OC->15 years-<1 year-software,0
OC-undefined-<1 year-software,0
SA-< 7 years-<1 year-software,3
SA-<10 years-<1 year-software,8
SA-<15 years-<1 year-software,0
SA->15 years-<1 year-software,0
SA-undefined-<1 year-software,0
AF-< 7 years-<1 year-software,0
AF-<10 years-<1 year-software,1
AF-<15 years-<1 year-software,0
AF->15 years-<1 year-software,0
AF-undefined-<1 year-software,0
USA-< 7 years-<3 year-software,9
USA-<10 years-<3 year-software,365
USA-<15 years-<3 year-software,267
USA->15 years-<3 year-software,92
USA-undefined-<3 year-software,0
EU-< 7 years-<3 year-software,6
EU-<10 years-<3 year-software,81
EU-<15 years-<3 year-software,72
EU->15 years-<3 year-software,22
EU-undefined-<3 year-software,0
ASIA-< 7 years-<3 year-software,0
ASIA-<10 years-<3 year-software,27
ASIA-<15 years-<3 year-software,19
ASIA->15 years-<3 year-software,7
ASIA-undefined-<3 year-software,0
CAN-< 7 years-<3 year-software,1
CAN-<10 years-<3 year-software,20
CAN-<15 years-<3 year-software,12
CAN->15 years-<3 year-software,7
CAN-undefined-<3 year-software,0
OC-< 7 years-<3 year-software,0
OC-<10 years-<3 year-software,5
OC-<15 years-<3 year-software,2
OC->15 years-<3 year-software,0
OC-undefined-<3 year-software,0
SA-< 7 years-<3 year-software,0
SA-<10 years-<3 year-software,7
SA-<15 years-<3 year-software,0
SA->15 years-<3 year-software,0
SA-undefined-<3 year-software,0
AF-< 7 years-<3 year-software,0
AF-<10 years-<3 year-software,2
AF-<15 years-<3 year-software,0
AF->15 years-<3 year-software,0
AF-undefined-<3 year-software,0
USA-< 7 years->3 year-software,0
USA-<10 years->3 year-software,28
USA-<15 years->3 year-software,328
USA->15 years->3 year-software,844
USA-undefined->3 year-software,0
EU-< 7 years->3 year-software,0
EU-<10 years->3 year-software,10
EU-<15 years->3 year-software,50
EU->15 years->3 year-software,246
EU-undefined->3 year-software,0
ASIA-< 7 years->3 year-software,0
ASIA-<10 years->3 year-software,7
ASIA-<15 years->3 year-software,18
ASIA->15 years->3 year-software,50
ASIA-undefined->3 year-software,0
CAN-< 7 years->3 year-software,0
CAN-<10 years->3 year-software,1
CAN-<15 years->3 year-software,20
CAN->15 years->3 year-software,63
CAN-undefined->3 year-software,0
OC-< 7 years->3 year-software,0
OC-<10 years->3 year-software,1
OC-<15 years->3 year-software,2
OC->15 years->3 year-software,10
OC-undefined->3 year-software,0
SA-< 7 years->3 year-software,0
SA-<10 years->3 year-software,1
SA-<15 years->3 year-software,4
SA->15 years->3 year-software,4
SA-undefined->3 year-software,0
AF-< 7 years->3 year-software,0
AF-<10 years->3 year-software,1
AF-<15 years->3 year-software,1
AF->15 years->3 year-software,2
AF-undefined->3 year-software,0
USA-< 7 years-no_fund-software,257
USA-<10 years-no_fund-software,900
USA-<15 years-no_fund-software,953
USA->15 years-no_fund-software,2973
USA-undefined-no_fund-software,0
EU-< 7 years-no_fund-software,179
EU-<10 years-no_fund-software,607
EU-<15 years-no_fund-software,619
